convention,mu,model,n,n_ages,k,dof,chi2_eff,chi2_eff_per_dof,p_eff,chi2_raw,p_raw,aicc,rmse_bits,saturated,s_rep_nat,params
nesterov_raw,0.8,saturating_exp,3,3,3,0,2.9536620638160642e-05,,,0.002700391393912445,,inf,0.0003262013370110299,True,0.07081802326957792,"{""r_inf"": 0.759826, ""r0_amp"": 4.558124, ""tau"": 6.372805}"
nesterov_raw,0.8,two_regime,3,3,3,0,6.535835826942524,,,255.3829747818694,,inf,0.1535261944793549,True,0.07081802326957792,"{""c"": 0.918217, ""Tc"": 1.705969, ""rho"": 0.948643}"
nesterov_raw,0.9,law_pure_multiplier,24,6,0,24,15428.775237684267,642.8656349035111,0.0,608643.0893149106,0.0,15428.775237684267,2.0606304733115843,False,0.053625909181195724,{}
nesterov_raw,0.9,scaled_multiplier,24,6,1,23,6411.638422524908,278.76688793586555,0.0,195101.90357830003,0.0,6413.820240706726,1.3249189392863727,False,0.053625909181195724,"{""c"": 0.339051}"
nesterov_raw,0.9,constant,24,6,1,23,1840.8205939805375,80.0356779991538,0.0,56583.50513749476,0.0,1843.0024121623558,0.7097364181049542,False,0.053625909181195724,"{""c"": 1.908404}"
nesterov_raw,0.9,exp_decay,24,6,2,22,1342.4241850881604,61.01928114037093,1.6279302429345742e-270,37990.25293417653,0.0,1346.995613659589,0.60492692919774,False,0.053625909181195724,"{""c"": 2.177784, ""rho"": 0.994128}"
nesterov_raw,0.9,multiplier_times_decay,24,6,2,22,4600.38112875767,209.10823312534865,0.0,125261.97578330524,0.0,4604.952557329098,1.120681432351118,False,0.053625909181195724,"{""c"": 0.436097, ""rho"": 0.988836}"
nesterov_raw,0.9,power_law,24,6,2,22,392.9000710238569,17.859094137448043,1.197175470609143e-69,17603.527317768912,0.0,397.4714995952855,0.31976204846110345,False,0.053625909181195724,"{""c"": 4.285995, ""a"": 0.369301}"
nesterov_raw,0.9,sat_exp_to_one,24,6,2,22,26.438394603049915,1.2017452092295415,0.23333616649139907,978.1462082370059,8.733283335110316e-193,31.009823174478488,0.08268122847518268,False,0.053625909181195724,"{""r0_amp"": 6.708817, ""tau"": 6.739447}"
nesterov_raw,0.9,saturating_exp,24,6,3,21,25.678404808486505,1.2227811813565002,0.21897769063497816,976.1283264415283,3.3973480475335317e-193,32.87840480848651,0.08154818585456623,False,0.053625909181195724,"{""r_inf"": 0.976869, ""r0_amp"": 6.805397, ""tau"": 6.930604}"
nesterov_raw,0.9,two_regime,24,6,3,21,1342.4241850881601,63.92496119467429,2.0105022185771408e-271,37990.25293417652,0.0,1349.6241850881602,0.60492692919774,False,0.053625909181195724,"{""c"": 1.119692, ""Tc"": 1.03889, ""rho"": 0.994128}"
nesterov_raw,0.95,law_pure_multiplier,3,3,0,3,1497.0704333749281,499.02347779164273,0.0,385601.3672573038,0.0,1497.0704333749281,2.2883003014399685,False,0.07081802326957792,{}
nesterov_raw,0.95,scaled_multiplier,3,3,1,2,1308.6948901588908,654.3474450794454,6.6147792365969954e-285,258558.34126712725,0.0,1314.6948901588908,2.1435319531596773,False,0.07081802326957792,"{""c"": 0.567053}"
nesterov_raw,0.95,constant,3,3,1,2,438.7217489598323,219.36087447991616,5.404837833088653e-96,88456.23616144081,0.0,444.7217489598323,1.241282315666333,False,0.07081802326957792,"{""c"": 3.326374}"
nesterov_raw,0.95,exp_decay,3,3,2,1,5.959012361402155,5.959012361402155,0.014642241123757515,261.4415032509381,8.32350286776005e-59,inf,0.14645774338347944,False,0.07081802326957792,"{""c"": 8.920752, ""rho"": 0.897107}"
nesterov_raw,0.95,multiplier_times_decay,3,3,2,1,39.589731723661174,39.589731723661174,3.1332643245016606e-10,1736.931952378056,0.0,inf,0.3774995814928561,False,0.07081802326957792,"{""c"": 3.07114, ""rho"": 0.830323}"
