stratum,convention,mu,campaign,control_campaign,pair_type,scale,T,H,S,eta_ratio,r,r_ci_lo,r_ci_hi,se_log_r,M_code,r_over_M,log2_r,log2_r_over_M,noise_eligible,momentum_point_id,control_point_id
nesterov_raw:mu0.5,nesterov_raw,0.5,TP-v1,TP-v1,within_campaign,135M,160,16,2560,0.5017830676477086,1.0035661352954173,0.9683635585924643,1.0429799849943835,0.013829543755360484,2.0,0.5017830676477086,0.005135693849292481,-0.9948643061507075,True,TP-v1:135M:T160:mu0.5:raw:H16:S2560,TP-v1:135M:T160:mu0:raw:H16:S2560
nesterov_raw:mu0.8,nesterov_raw,0.8,G8,G8,within_campaign,135M,2,512,1024,0.4602540407599953,2.301270203799977,2.2252813044949624,2.3700879502864303,0.011847581842407567,2.44,0.9431435261475316,1.202430387645397,-0.08445076014276454,True,G8:135M:T2:mu0.8:raw:H512:S1024,G8:135M:T2:mu0:mu0:H512:S1024
nesterov_raw:mu0.8,nesterov_raw,0.8,G8,G8,within_campaign,135M,5,512,2560,0.3037339767152082,1.5186698835760413,1.4801816605935512,1.5885756721534439,0.014714578628040825,3.68928,0.4116439748612307,0.6028083023044251,-1.2805309850427222,True,G8:135M:T5:mu0.8:raw:H512:S2560,G8:135M:T5:mu0:mu0:H512:S2560
nesterov_raw:mu0.8,nesterov_raw,0.8,TP-pilot,G12;G5B;G5B;G6;G8;TP-v1;TP-v2;TP-v3;TP-v3,cross_campaign,135M,5,512,2560,0.3384936538114453,1.6924682690572268,1.6134562766127976,1.7939010844729946,0.010237943521306086,3.68928,0.4587530003299361,0.7591287859403548,-1.1242105014067925,True,TP-pilot:135M:T5:mu0.8:raw:H512:S2560,G12:135M:T5:mu0:mu0:H512:S2560;G5B:135M:T5:mu0:snoo-a:H512:S2560;G5B:135M:T5:mu0:snoo-c:H512:S2560;G6:135M:T5:mu0:mu0:H512:S2560;G8:135M:T5:mu0:mu0:H512:S2560;TP-v1:135M:T5:mu0:raw:H512:S2560;TP-v2:135M:T5:mu0:raw:H512:S2560;TP-v3:135M:T5:mu0:corrected:H512:S2560;TP-v3:135M:T5:mu0:raw:H512:S2560
nesterov_raw:mu0.8,nesterov_raw,0.8,G8,G8,within_campaign,135M,20,512,10240,0.16227526586838664,0.8113763293419334,0.8063264238430262,0.8185028925564586,0.0027620842893601033,4.953883139815727,0.16378592438337466,-0.3015568801409737,-2.6101167165094967,True,G8:135M:T20:mu0.8:raw:H512:S10240,G8:135M:T20:mu0:mu0:H512:S10240
nesterov_raw:mu0.9,nesterov_raw,0.9,TP-pilot,G8;TP-v3;TP-v3,cross_campaign,135M,2,512,1024,0.485006733265269,4.850067332652691,4.3781770535055955,5.5526734585857485,0.04696949608567034,2.7099999999999995,1.78969274267627,2.2780047761265347,0.8397119245473882,True,TP-pilot:135M:T2:mu0.9:raw:H512:S1024,G8:135M:T2:mu0:mu0:H512:S1024;TP-v3:135M:T2:mu0:corrected:H512:S1024;TP-v3:135M:T2:mu0:raw:H512:S1024
nesterov_raw:mu0.9,nesterov_raw,0.9,TP-v3,TP-v3;TP-v3,within_campaign,135M,2,512,1024,0.4167462537063047,4.167462537063048,3.972778130493719,4.374712520808797,0.017552115707259303,2.7099999999999995,1.5378090542668075,2.0591692303247613,0.6208763787456144,True,TP-v3:135M:T2:mu0.9:raw:H512:S1024,TP-v3:135M:T2:mu0:corrected:H512:S1024;TP-v3:135M:T2:mu0:raw:H512:S1024
nesterov_raw:mu0.9,nesterov_raw,0.9,G6,G6,within_campaign,135M,2,1280,2560,0.4152259197387996,4.1522591973879965,4.03786317263841,4.238002369702313,0.009130886681670078,2.7099999999999995,1.5321989658258293,2.053896504176207,0.6156036525970602,True,G6:135M:T2:mu0.9:raw:H1280:S2560,G6:135M:T2:mu0:mu0:H1280:S2560
nesterov_raw:mu0.9,nesterov_raw,0.9,G6,G6,within_campaign,135M,2,2560,5120,0.4058529941342817,4.058529941342818,3.898076521974155,4.240332033828868,0.015282122086007264,2.7099999999999995,1.497612524480745,2.020957256871318,0.5826644052921717,True,G6:135M:T2:mu0.9:raw:H2560:S5120,G6:135M:T2:mu0:mu0:H2560:S5120
nesterov_raw:mu0.9,nesterov_raw,0.9,G6,G6,within_campaign,135M,2,5120,10240,0.4038493198776035,4.0384931987760355,3.941011835778208,4.235236322366855,0.013367116386296438,2.7099999999999995,1.4902188925372828,2.0138171097725692,0.5755242581934226,True,G6:135M:T2:mu0.9:raw:H5120:S10240,G6:135M:T2:mu0:mu0:H5120:S10240
