momentum_point_id,control_point_id,campaign,scale,T,H,S,mu,convention,observed_to_law_ratio,log2_observed_to_law,conservative_marginal_ci_low,conservative_marginal_ci_high,law_required_ratio,note
G8:135M:T5:mu0.95:raw:H512:S2560,G8:135M:T5:mu0:mu0:H512:S2560,G8,135M,5,512,2560,0.95,nesterov_raw,0.8541242526678957,-0.22748213550009924,0.8301666409240984,0.8999504311753571,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G8:135M:T20:mu0.8:corrected:H512:S10240,G8:135M:T20:mu0:mu0:H512:S10240,G8,135M,20,512,10240,0.8,nesterov_corrected,0.5973075556014716,-0.7434541237191556,0.589537202561508,0.6028834603034657,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G8:135M:T20:mu0.8:raw:H512:S10240,G8:135M:T20:mu0:mu0:H512:S10240,G8,135M,20,512,10240,0.8,nesterov_raw,0.16378592438337608,-2.6101167165094843,0.16276654113262473,0.16522450559601157,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G8:135M:T20:mu0.95:corrected:H512:S10240,G8:135M:T20:mu0:mu0:H512:S10240,G8,135M,20,512,10240,0.95,nesterov_corrected,0.4114036435543342,-1.2813735238867128,0.40829712225744885,0.4147562906091573,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G8:135M:T20:mu0.95:raw:H512:S10240,G8:135M:T20:mu0:mu0:H512:S10240,G8,135M,20,512,10240,0.95,nesterov_raw,0.07879358825449666,-3.6657779531107546,0.07819891476050368,0.0798710921376048,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
TP-pilot:135M:T10:mu0.9:raw:H512:S5120,TP-pilot:135M:T10:mu0:raw:H512:S5120,TP-pilot,135M,10,512,5120,0.9,nesterov_raw,0.2455211547605074,-2.0260807585217293,0.23712856870658428,0.25469494119925445,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
TP-v1:135M:T5:mu0.9:raw:H512:S2560,TP-v1:135M:T5:mu0:raw:H512:S2560,TP-v1,135M,5,512,2560,0.9,nesterov_raw,0.5360255371418171,-0.8996263601926917,0.5085513327373337,0.5570196798928381,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
TP-v1:135M:T10:mu0.5:raw:H256:S2560,TP-v1:135M:T10:mu0:raw:H256:S2560,TP-v1,135M,10,256,2560,0.5,nesterov_raw,0.5422594513574435,-0.8829448011941786,0.4578996589876118,0.5686402657933601,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
TP-v1:135M:T160:mu0.5:raw:H16:S2560,TP-v1:135M:T160:mu0:raw:H16:S2560,TP-v1,135M,160,16,2560,0.5,nesterov_raw,0.5017830676477112,-0.9948643061507002,0.48418177929623274,0.5214899924971931,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
TP-v1:135M:T160:mu0.9:raw:H16:S2560,TP-v1:135M:T160:mu0:raw:H16:S2560,TP-v1,135M,160,16,2560,0.9,nesterov_raw,0.10265793168895548,-3.284082995777444,0.09941272333128276,0.10638198481006257,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
TP-v2:135M:T5:mu0.9:raw:H512:S2560,TP-v2:135M:T5:mu0:raw:H512:S2560,TP-v2,135M,5,512,2560,0.9,nesterov_raw,0.5210311737329875,-0.9405584021445416,0.4858298956783455,0.559127917459763,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
TP-v2:135M:T40:mu0.9:raw:H64:S2560,TP-v2:135M:T40:mu0:raw:H64:S2560,TP-v2,135M,40,64,2560,0.9,nesterov_raw,0.10098874698331493,-3.3077335501858856,0.0930922405682035,0.12085284809218078,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
TP-v2:135M:T160:mu0.9:raw:H16:S2560,TP-v2:135M:T160:mu0:raw:H16:S2560,TP-v2,135M,160,16,2560,0.9,nesterov_raw,0.10363947817986667,-3.270354438143381,0.10205306156077286,0.10494448955139789,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
TP-v3:135M:T2:mu0.9:corrected:H512:S1024,TP-v3:135M:T2:mu0:corrected:H512:S1024,TP-v3,135M,2,512,1024,0.9,nesterov_corrected,0.9552656777062855,-0.06602606477146274,0.916044637162021,0.9918881577989309,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
TP-v3:135M:T2:mu0.9:raw:H512:S1024,TP-v3:135M:T2:mu0:corrected:H512:S1024,TP-v3,135M,2,512,1024,0.9,nesterov_raw,1.5378090542668073,0.6208763787456142,1.4659697898500814,1.6142850630290795,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
TP-v3:135M:T5:mu0.9:corrected:H512:S2560,TP-v3:135M:T5:mu0:corrected:H512:S2560,TP-v3,135M,5,512,2560,0.9,nesterov_corrected,0.8615170030530572,-0.21504882486980556,0.8387969851519583,0.8852985338512701,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
TP-v3:135M:T5:mu0.9:raw:H512:S2560,TP-v3:135M:T5:mu0:corrected:H512:S2560,TP-v3,135M,5,512,2560,0.9,nesterov_raw,0.5478118490686922,-0.8682476232804283,0.5311021791527584,0.5683978774130192,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
TP-v3:135M:T10:mu0.9:corrected:H512:S5120,TP-v3:135M:T10:mu0:corrected:H512:S5120,TP-v3,135M,10,512,5120,0.9,nesterov_corrected,0.7480014393108988,-0.4188870487253886,0.7264348625402351,0.7689918729361823,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
TP-v3:135M:T10:mu0.9:raw:H512:S5120,TP-v3:135M:T10:mu0:corrected:H512:S5120,TP-v3,135M,10,512,5120,0.9,nesterov_raw,0.23147205141627164,-2.111090085925821,0.22614810635662644,0.2375851048039936,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
TP-v3:135M:T20:mu0.9:corrected:H512:S10240,TP-v3:135M:T20:mu0:corrected:H512:S10240,TP-v3,135M,20,512,10240,0.9,nesterov_corrected,0.5306260061050936,-0.9142327107654732,0.5156184764863657,0.5584826793970101,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
TP-v3:135M:T20:mu0.9:raw:H512:S10240,TP-v3:135M:T20:mu0:corrected:H512:S10240,TP-v3,135M,20,512,10240,0.9,nesterov_raw,0.11114616199505725,-3.169469963583165,0.10898303067565045,0.11339995963989952,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G4C:1.7B:T5:mu0.9:raw:H512:S2560,G4C:1.7B:T5:mu0:mu0:H512:S2560,G4C,1.7B,5,512,2560,0.9,nesterov_raw,0.3716961567228144,-1.427804323840239,0.33790191595245084,0.4151216086357655,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G4C:1.7B:T20:mu0.9:raw:H512:S10240,G4C:1.7B:T20:mu0:mu0:H512:S10240,G4C,1.7B,20,512,10240,0.9,nesterov_raw,0.1438043627492145,-2.7978206498390827,0.12942927318903763,0.16581214651060897,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G9B:7B:T5:mu0.9:raw:H512:S2560,G9B:7B:T5:mu0:mu0:H512:S2560,G9B,7B,5,512,2560,0.9,nesterov_raw,0.5648742198175666,-0.823998435584321,0.5648742198175666,0.5648742198175666,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
